No,Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link,Accession
48,CCR9,C-C Motif Chemokine Receptor 9,Protein Coding,41,GC03P045903,4.24458313,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR9,P51686
49,TLR3,Toll Like Receptor 3,Protein Coding,52,GC04P186059,4.181342125,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3,O15455
50,BSG,Basigin (Ok Blood Group),Protein Coding,44,GC19P000571,4.149822712,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BSG,P35613
52,FYCO1,FYVE And Coiled-Coil Domain Autophagy Adaptor 1,Protein Coding,41,GC03M045917,4.119442463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FYCO1,Q9BQS8
57,IL17A,Interleukin 17A,Protein Coding,43,GC06P052186,3.994371653,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A,Q16552
58,IRF3,Interferon Regulatory Factor 3,Protein Coding,47,GC19M049659,3.979826212,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF3,Q14653
59,HLA-B,"Major Histocompatibility Complex, Class I, B",Protein Coding,46,GC06M046832,3.864222527,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-B,P01889
60,CTSL,Cathepsin L,Protein Coding,46,GC09P087725,3.840413809,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL,P07711
61,SERPINA1,Serpin Family A Member 1,Protein Coding,50,GC14M094376,3.826784134,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1,P01009
62,IFNAR1,Interferon Alpha And Beta Receptor Subunit 1,Protein Coding,45,GC21P033324,3.81056428,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNAR1,P17181
63,TLR7,Toll Like Receptor 7,Protein Coding,48,GC0XP012867,3.800164461,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR7,Q9NYK1
64,ADM,Adrenomedullin,Protein Coding,45,GC11P010304,3.731320858,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADM,P35318
65,HMOX1,Heme Oxygenase 1,Protein Coding,53,GC22P035380,3.723519325,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1,P09601
66,AGT,Angiotensinogen,Protein Coding,50,GC01M230702,3.663189173,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGT,P01019
67,RPL36,Ribosomal Protein L36,Protein Coding,40,GC19P005674,3.657206774,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36,Q9Y3U8
68,XCR1,X-C Motif Chemokine Receptor 1,Protein Coding,40,GC03M046016,3.646892786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=XCR1,P46094
69,LZTFL1,Leucine Zipper Transcription Factor Like 1,Protein Coding,40,GC03M045823,3.646892786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTFL1,Q9NQ48
70,IL7,Interleukin 7,Protein Coding,43,GC08M078689,3.642230511,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7,P13232
71,IFNG,Interferon Gamma,Protein Coding,48,GC12M068154,3.607975483,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNG,P01579
72,OAS1,2'-5'-Oligoadenylate Synthetase 1,Protein Coding,46,GC12P112911,3.586693764,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS1,P00973
73,PRF1,Perforin 1,Protein Coding,45,GC10M070597,3.524455786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRF1,P14222
80,AAK1,AP2 Associated Kinase 1,Protein Coding,41,GC02M069459,3.472845078,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAK1,Q2M2I8
81,CD209,CD209 Molecule,Protein Coding,43,GC19M007739,3.28259778,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD209,Q9NNX6
82,IFITM3,Interferon Induced Transmembrane Protein 3,Protein Coding,41,GC11M000319,3.219563961,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFITM3,Q01628
83,ALB,Albumin,Protein Coding,50,GC04P073397,3.178481817,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB,P02768
84,HSPA5,Heat Shock Protein Family A (Hsp70) Member 5,Protein Coding,48,GC09M125234,3.093375206,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPA5,P11021
85,STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,53,GC17M042313,3.09218955,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3,P40763
86,IL18,Interleukin 18,Protein Coding,44,GC11M112143,3.055717945,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18,Q14116
87,SLC6A19,Solute Carrier Family 6 Member 19,Protein Coding,45,GC05P001201,3.046234846,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A19,Q695T7
88,MAS1,"MAS1 Proto-Oncogene, G Protein-Coupled Receptor",Protein Coding,40,GC06P159906,2.962310553,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAS1,P04201
89,S100A8,S100 Calcium Binding Protein A8,Protein Coding,43,GC01M153391,2.958064079,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8,P05109
90,S100A9,S100 Calcium Binding Protein A9,Protein Coding,43,GC01P153357,2.958064079,https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9,P06702
91,HMGB1,High Mobility Group Box 1,Protein Coding,45,GC13M030456,2.935780048,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1,P09429
93,STING1,Stimulator Of Interferon Response CGAMP Interactor 1,Protein Coding,34,GC05M139476,2.870994091,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STING1,Q86WV6
95,CD8A,CD8a Molecule,Protein Coding,47,GC02M086784,2.858315945,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD8A,P01732
96,ADAMTS13,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 13,Protein Coding,47,GC09P133414,2.8551476,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS13,Q76LX8
97,MMP3,Matrix Metallopeptidase 3,Protein Coding,51,GC11M102835,2.83398509,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3,P08254
98,IRF7,Interferon Regulatory Factor 7,Protein Coding,47,GC11M000612,2.807286024,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7,Q92985
99,KNG1,Kininogen 1,Protein Coding,45,GC03P186717,2.79962039,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1,P01042
100,SERPINC1,Serpin Family C Member 1,Protein Coding,49,GC01M174251,2.793558598,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1,P01008
101,ANGPT2,Angiopoietin 2,Protein Coding,46,GC08M006499,2.72584343,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT2,O15123
102,PTX3,Pentraxin 3,Protein Coding,43,GC03P157436,2.72584343,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3,P26022
103,GPT,Glutamic--Pyruvic Transaminase,Protein Coding,43,GC08P144502,2.72499609,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT,P24298
104,TYK2,Tyrosine Kinase 2,Protein Coding,53,GC19M010350,2.691556931,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TYK2,P29597
105,OAS3,2'-5'-Oligoadenylate Synthetase 3,Protein Coding,41,GC12P112938,2.691556931,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OAS3,Q9Y6K5
106,C5,Complement C5,Protein Coding,47,GC09M120952,2.691468239,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5,P01031
107,C5AR1,Complement C5a Receptor 1,Protein Coding,44,GC19P047290,2.691468239,https://www.genecards.org/cgi-bin/carddisp.pl?gene=C5AR1,P21730
108,VEGFA,Vascular Endothelial Growth Factor A,Protein Coding,49,GC06P043770,2.68490696,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA,P15692
109,CLEC4M,C-Type Lectin Domain Family 4 Member M,Protein Coding,41,GC19P007763,2.68490696,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLEC4M,Q9H2X3
110,CALCA,Calcitonin Related Polypeptide Alpha,Protein Coding,43,GC11M014945,2.665877819,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA,P06881
111,TTR,Transthyretin,Protein Coding,50,GC18P031557,2.638442278,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR,P02766
112,DDX58,DExD/H-Box Helicase 58,Protein Coding,47,GC09M032455,2.607402086,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DDX58,O95786
113,AGTR2,Angiotensin II Receptor Type 2,Protein Coding,44,GC0XP116170,2.595285654,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR2,P50052
114,IL1A,Interleukin 1 Alpha,Protein Coding,44,GC02M112773,2.583326578,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A,P01583
115,CXCL1,C-X-C Motif Chemokine Ligand 1,Protein Coding,43,GC04P073869,2.583326578,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL1,P09341
116,CXCL2,C-X-C Motif Chemokine Ligand 2,Protein Coding,41,GC04M074097,2.583326578,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL2,P19875
117,NEU1,Neuraminidase 1,Protein Coding,45,GC06M031857,2.516071796,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEU1,Q99519
118,FAS,Fas Cell Surface Death Receptor,Protein Coding,51,GC10P088969,2.511498213,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS,P25445
119,REN,Renin,Protein Coding,48,GC01M204154,2.511498213,https://www.genecards.org/cgi-bin/carddisp.pl?gene=REN,P00797
120,PLAUR,"Plasminogen Activator, Urokinase Receptor",Protein Coding,45,GC19M043646,2.507351398,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAUR,Q03405
121,HIF1A,Hypoxia Inducible Factor 1 Subunit Alpha,Protein Coding,48,GC14P061695,2.477804899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A,Q16665
122,ENPEP,Glutamyl Aminopeptidase,Protein Coding,45,GC04P110365,2.446741104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENPEP,Q07075
123,IL6R,Interleukin 6 Receptor,Protein Coding,50,GC01P154405,2.446231127,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL6R,P08887
124,AR,Androgen Receptor,Protein Coding,53,GC0XP067544,2.428397179,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR,P10275
125,CCHCR1,Coiled-Coil Alpha-Helical Rod Protein 1,Protein Coding,38,GC06M046823,2.342149734,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCHCR1,Q8TD31
126,TNNT2,"Troponin T2, Cardiac Type",Protein Coding,50,GC01M201359,2.340996265,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNNT2,P45379
127,MUC5AC,"Mucin 5AC, Oligomeric Mucus/Gel-Forming",Protein Coding,39,GC11P001151,2.338089466,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5AC,P98088
128,MAVS,Mitochondrial Antiviral Signaling Protein,Protein Coding,41,GC20P003850,2.307049274,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAVS,Q7Z434
129,TLR2,Toll Like Receptor 2,Protein Coding,52,GC04P153684,2.269192696,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2,O60603
130,SIGMAR1,Sigma Non-Opioid Intracellular Receptor 1,Protein Coding,48,GC09M034634,2.232567787,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1,Q99720
131,F11,Coagulation Factor XI,Protein Coding,46,GC04P186265,2.179957867,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F11,P03951
132,CCL5,C-C Motif Chemokine Ligand 5,Protein Coding,44,GC17M035871,2.132465124,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5,P13501
133,GZMA,Granzyme A,Protein Coding,43,GC05P055102,2.071011066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMA,P12544
134,CD14,CD14 Molecule,Protein Coding,45,GC05M140631,2.042446613,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD14,P08571
135,NCAM1,Neural Cell Adhesion Molecule 1,Protein Coding,47,GC11P112961,2.038106918,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1,P13591
143,TGFB1,Transforming Growth Factor Beta 1,Protein Coding,52,GC19M041301,2.03697753,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1,P01137
144,LGALS3,Galectin 3,Protein Coding,45,GC14P055124,1.963179111,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LGALS3,P17931
145,APOE,Apolipoprotein E,Protein Coding,51,GC19P044906,1.959032178,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE,P02649
146,AHR,Aryl Hydrocarbon Receptor,Protein Coding,49,GC07P016916,1.912567377,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AHR,P35869
147,TICAM1,Toll Like Receptor Adaptor Molecule 1,Protein Coding,45,GC19M004815,1.91214931,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TICAM1,Q8IUC6
148,FTL,Ferritin Light Chain,Protein Coding,48,GC19P048965,1.901749372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTL,P02792
149,MAF,MAF BZIP Transcription Factor,Protein Coding,45,GC16M079204,1.901749372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAF,O75444
150,HAVCR2,Hepatitis A Virus Cellular Receptor 2,Protein Coding,44,GC05M157063,1.901749372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAVCR2,Q8TDQ0
151,MAFB,MAF BZIP Transcription Factor B,Protein Coding,44,GC20M040685,1.901749372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAFB,Q9Y5Q3
152,PSMD1,"Proteasome 26S Subunit, Non-ATPase 1",Protein Coding,40,GC02P231056,1.901749372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSMD1,Q99460
153,LAG3,Lymphocyte Activating 3,Protein Coding,37,GC12P011853,1.901749372,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAG3,P18627
154,JUN,"Jun Proto-Oncogene, AP-1 Transcription Factor Subunit",Protein Coding,50,GC01M058780,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUN,P05412
155,MYD88,MYD88 Innate Immune Signal Transduction Adaptor,Protein Coding,50,GC03P038139,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88,Q99836
156,F2,"Coagulation Factor II, Thrombin",Protein Coding,49,GC11P046720,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2,P00734
157,MBL2,Mannose Binding Lectin 2,Protein Coding,48,GC10M052760,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2,P11226
158,FGA,Fibrinogen Alpha Chain,Protein Coding,48,GC04M154583,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGA,P02671
159,TLR8,Toll Like Receptor 8,Protein Coding,48,GC0XP012924,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR8,Q9NR97
160,STAT2,Signal Transducer And Activator Of Transcription 2,Protein Coding,48,GC12M056341,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT2,P52630
161,ISG15,ISG15 Ubiquitin Like Modifier,Protein Coding,47,GC01P001001,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ISG15,P05161
162,IKBKE,Inhibitor Of Nuclear Factor Kappa B Kinase Subunit Epsilon,Protein Coding,46,GC01P206470,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IKBKE,Q14164
163,EIF2AK2,Eukaryotic Translation Initiation Factor 2 Alpha Kinase 2,Protein Coding,46,GC02M037099,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF2AK2,P19525
164,IRF9,Interferon Regulatory Factor 9,Protein Coding,45,GC14P024161,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF9,Q00978
165,IL2,Interleukin 2,Protein Coding,45,GC04M122451,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2,P60568
166,MX1,MX Dynamin Like GTPase 1,Protein Coding,43,GC21P041420,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MX1,P20591
167,CSF3,Colony Stimulating Factor 3,Protein Coding,40,GC17P040015,1.898415089,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF3,P09919
168,NOS3,Nitric Oxide Synthase 3,Protein Coding,52,GC07P150990,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS3,P29474
169,VKORC1,Vitamin K Epoxide Reductase Complex Subunit 1,Protein Coding,47,GC16M031116,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VKORC1,Q9BQB6
170,APOL1,Apolipoprotein L1,Protein Coding,43,GC22P036253,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOL1,O14791
171,P2RY14,Purinergic Receptor P2Y14,Protein Coding,43,GC03M151212,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY14,Q15391
172,SREBF2,Sterol Regulatory Element Binding Transcription Factor 2,Protein Coding,43,GC22P041833,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SREBF2,Q12772
173,LPA,Lipoprotein(A),Protein Coding,42,GC06M160531,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPA,P08519
174,TMPRSS4,Transmembrane Serine Protease 4,Protein Coding,41,GC11P118077,1.867715836,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMPRSS4,Q9NRS4
175,AGER,Advanced Glycosylation End-Product Specific Receptor,Protein Coding,45,GC06M032180,1.830706596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGER,Q15109
176,LCN2,Lipocalin 2,Protein Coding,44,GC09P128149,1.830706596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCN2,P80188
177,ELAVL2,ELAV Like RNA Binding Protein 2,Protein Coding,43,GC09M023690,1.830706596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELAVL2,Q12926
178,PTGDR2,Prostaglandin D2 Receptor 2,Protein Coding,42,GC11M060850,1.830706596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGDR2,Q9Y5Y4
179,UBE2L6,Ubiquitin Conjugating Enzyme E2 L6,Protein Coding,41,GC11M069079,1.830706596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2L6,O14933
180,TNFSF14,TNF Superfamily Member 14,Protein Coding,41,GC19M006663,1.830706596,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF14,O43557
181,BTK,Bruton Tyrosine Kinase,Protein Coding,54,GC0XM101349,1.789770365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTK,Q06187
182,ITK,IL2 Inducible T Cell Kinase,Protein Coding,52,GC05P157158,1.789770365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITK,Q08881
183,CAT,Catalase,Protein Coding,50,GC11P034460,1.789770365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAT,P04040
184,FCGR3A,Fc Fragment Of IgG Receptor IIIa,Protein Coding,45,GC01M161541,1.789770365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR3A,P08637
185,PAFAH1B1,Platelet Activating Factor Acetylhydrolase 1b Regulatory Subunit 1,Protein Coding,45,GC17P002593,1.789770365,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAFAH1B1,P43034
186,BDKRB1,Bradykinin Receptor B1,Protein Coding,43,GC14P096272,1.743305683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BDKRB1,P46663
