Compounds,ProteinList,Probability,Total
Columbin,PRKCA,[0.9024679],1
Aloin,PRKCA,[0.8972463],1
Library2,PRKCA,[0.8972463],1
Library,PRKCA,[0.8972463],1
Quercetin-3-o-rhamnoside,PRKCA,[0.8959167],1
Quercitrin,PRKCA,[0.8959167],1
Methyl cinnamate,EGFR,[0.8950302],1
Spiraeoside,PRKCA,[0.89410126],1
Oleanolic acid,PRKCA,[0.8937387],1
Ursolic acid,PRKCA,[0.8937387],1
Hyperoside,PRKCA,[0.8935458],1
Isoquercetin,PRKCA,[0.8935458],1
Isoquercetrin,PRKCA,[0.8935458],1
Myricetin-3,PRKCA,[0.8933024],1
Aromadendrene,AR,[0.89142245],1
Ellagic acid,PRKCA,[0.8893385],1
Charine,PRKCA,[0.8882318],1
Gychirrethinic acid,PRKCA,[0.88686484],1
Scutellarein,PRKCA,[0.8845872],1
Cyanidin 3-glucoside,EGFR,[0.8809479],1
Laurotetanine,PRKCA,[0.8729564],1
Tinosporaside,PRKCA,[0.8727882],1
Delphinin,EGFR,[0.8690504],1
Aracetin,EGFR,[0.86583334],1
Magnoflorine,PRKCA,[0.8652479],1
Damnacanthal,CSNK2A1,[0.8603232],1
Garcimangosone d,EGFR,[0.8561805],1
Ethyl cinnamate,EGFR,[0.8526098],1
7-hydroxy-8-o-methylaloin b,PRKCA,[0.84748393],1
Aloinoside b,PRKCA,[0.8462508],1
Kaempferol,EGFR,[0.8448478],1
Aloemodin,CSNK2A1,[0.8347565],1
Amariin,PRKCA,[0.8303403],1
Cinnamic acid,EGFR,[0.8170011],1
Rubiadin 1-methyl ether,CSNK2A1,[0.812763],1
Physcione,CSNK2A1,[0.8123595],1
Morenone 1,CSNK2A1,[0.8123595],1
"2-methyl-4-hydroxy-5,7-dimethylanthraquinone",CSNK2A1,[0.8123595],1
P-coumaric acid,EGFR,[0.80822045],1
N-cisferuloyltyramine,EGFR,[0.8047032],1
N-transferuloltyramine,EGFR,[0.8047032],1
Cinnamaldehyde,EGFR,[0.80158496],1
Z-cinnamaldehyde,EGFR,[0.80158496],1
Sinamaldehid,EGFR,[0.80158496],1
Cinnamyl acetate,EGFR,[0.7742572],1
(z)-cinnamyl acetate,EGFR,[0.7742572],1
Morindone,CSNK2A1,[0.7723937],1
"2-methyl-3,5,6-trihydroxyanthraquinone",CSNK2A1,[0.7723937],1
Soranjidiol,CSNK2A1,[0.760193],1
Morindanidrine,CSNK2A1,[0.75375724],1
Gossypetin 3-glucoside,PRKCA,[0.7525667],1
Apigenin,EGFR,[0.7485715],1
Hydrocinnamaldehyde,EGFR,[0.7418706],1
Berberine2,TF,[0.7279592],1
Y-mangostin,TF,[0.7279592],1
2-phenylethyl benzoate,EGFR,[0.69440615],1
Anisaldehyde,EGFR,[0.6924621],1
Momordin i,PRKCA,[0.6863785],1
Momordin lc,PRKCA,[0.6863785],1
Kaempferol 3-o-alpha-l-rhamnopyranoside/afzelin,"PRKCA,EGFR","[0.68454057,0.73593605]",2
Kaempferol-3,"PRKCA,EGFR","[0.67801285,0.7163886]",2
Astragalin,"PRKCA,EGFR","[0.67801267,0.7163887]",2
"5,6-dihydroxylucidin",CSNK2A1,[0.6758087],1
5-hydroxyaloin a,PRKCA,[0.6672754],1
Methyl chavicol,"PRKCA,EGFR","[0.66312015,0.8638818]",2
Momordin ib,PRKCA,[0.65633225],1
Benzyl benzoate,EGFR,[0.6425157],1
Palmatine,PRKCA,[0.63735056],1
3-carene,CSNK2A1,[0.6171814],1
Hydrocinnamic acid,EGFR,[0.59409773],1
Blumenol a,CSNK2A1,[0.5924564],1
3-hydroxymorindone,CSNK2A1,[0.5884818],1
Seco-isolariciresinol trimethyl ether,PRKCA,[0.5726894],1
Safrole,EGFR,[0.56946105],1
Aucubin,MAPK14,[0.54669225],1
Momordicilin,"CSNK2A1,PRKCA","[0.54121655,0.88017637]",2
Secoisolariciresinol,PRKCA,[0.53873605],1
Phyllanthin,PRKCA,[0.5383905],1
Cinnamyl alcohol,EGFR,[0.530358],1
Benzaldehyde,EGFR,[0.5238626],1
Germacrene-d,PRKCA,[0.5071571],1
Geniposide,MAPK14,[0.50649947],1
